amount,change,close,high,low,open,pct_chg,pre_close,trade_date,ts_code,vol,rsi_14,macd_dif,macd_dea,macd_hist,boll_mid,boll_upper,boll_lower,boll_width,tr,atr_14,kdj_k,kdj_d,kdj_j
176831.461,0.15,9.48,9.53,9.33,9.33,1.6077,9.33,2025-06-30,002636.SZ,187310.0,,0.0,0.0,0.0,,,,,0.1999999999999993,,,,
270198.461,0.3,9.78,9.83,9.33,9.49,3.1646,9.48,2025-07-01,002636.SZ,281937.2,,0.023931623931623847,0.00478632478632477,0.03829059829059815,,,,,0.5,,,,
182730.058,-0.41,9.37,9.69,9.31,9.67,-4.1922,9.78,2025-07-02,002636.SZ,194017.0,,0.009702193975698492,0.005769498624199515,0.007865390702997955,,,,,0.46999999999999886,,,,
347941.476,0.94,10.31,10.31,9.34,9.34,10.032,9.37,2025-07-03,002636.SZ,343854.96,,0.07342896886520833,0.01930139267240128,0.1082551523856141,,,,,0.9700000000000006,,,,
72453.267,1.03,11.34,11.34,11.34,11.34,9.9903,10.31,2025-07-04,002636.SZ,63891.77,,0.2046857985494075,0.05637827384780253,0.29661504940320993,,,,,1.0299999999999994,,,,
1012585.208,1.13,12.47,12.47,10.99,11.23,9.9647,11.34,2025-07-07,002636.SZ,835765.5,,0.39533219447236334,0.12416905797271471,0.5423262729992973,,,,,1.4800000000000004,,,,
835302.81,1.25,13.72,13.72,12.3,12.86,10.0241,12.47,2025-07-08,002636.SZ,635533.62,,0.6399089184066167,0.2273170300594951,0.8251837766942431,,,,,1.42,,,,
108110.479,1.37,15.09,15.09,15.09,15.09,9.9854,13.72,2025-07-09,002636.SZ,71643.79,,0.9335241987721243,0.36855846380202095,1.1299314699402068,,,,,1.3699999999999992,,,,
2785402.995,0.06,15.15,16.6,14.97,16.6,0.3976,15.09,2025-07-10,002636.SZ,1736470.63,,1.1577125329756175,0.5263892776367403,1.2626465106777545,,,,,1.6300000000000008,,60.036579789666206,53.3455265965554,73.41868617588781
2144220.594,-1.51,13.64,14.79,13.64,14.51,-9.967,15.15,2025-07-11,002636.SZ,1539655.74,,1.1997095180868946,0.6610533257267712,1.0773123847202468,,,,,1.5099999999999998,,59.823197683279986,55.50475029213027,68.46009246557941
1349014.266,-1.28,12.36,12.98,12.33,12.81,-9.3842,13.64,2025-07-14,002636.SZ,1070431.0,,1.11683297345229,0.7522092552718751,0.7292474363608297,,,,,1.3100000000000005,,53.82817659909566,54.94589239445207,51.59274500838285
1110041.267,0.0,12.36,12.82,12.19,12.55,0.0,12.36,2025-07-15,002636.SZ,885008.74,,1.0391737664200242,0.8096021575015049,0.4591432178370387,,,,,0.6300000000000008,,49.751383113814,53.21438930090605,42.8253707396299
784661.833,-0.28,12.08,12.34,11.92,12.25,-2.2654,12.36,2025-07-16,002636.SZ,648448.14,,0.9441510399255701,0.8365119339863181,0.21527821187850416,,,,,0.4399999999999995,,39.64411874848444,48.69096578343218,21.550424678588953
836580.661,0.34,12.42,12.63,11.99,12.0,2.8146,12.08,2025-07-17,002636.SZ,676083.37,,0.8860659859492817,0.8464227443789107,0.07928648314074183,,,,,0.6400000000000006,0.7073590003785362,34.92614452513341,44.102692030665935,16.57304951406836
681344.239,-0.34,12.08,12.49,12.08,12.3,-2.7375,12.42,2025-07-18,002636.SZ,557879.87,64.3367007489687,0.8033376275809729,0.8378057210193232,-0.06893618687670044,,,,,0.41000000000000014,0.6861190717800693,24.42369748969008,37.543027183673985,-1.8149618982777298
600830.458,0.26,12.34,12.38,11.98,12.1,2.1523,12.08,2025-07-21,002636.SZ,493370.5,65.58895772804209,0.7501078581746796,0.8202661484503945,-0.1403165805514297,,,,,0.40000000000000036,0.66568199522435,19.273917984579715,31.45332411730923,-5.084894280879311
486685.075,-0.28,12.06,12.44,12.0,12.26,-2.269,12.34,2025-07-22,002636.SZ,399806.86,63.02248398003068,0.6775192028486714,0.7917167593300499,-0.22839511296275705,,,,,0.4399999999999995,0.649561852708325,13.846429653537479,25.584359296051982,-9.629429631491526
342708.836,-0.24,11.82,12.09,11.8,11.93,-1.99,12.06,2025-07-23,002636.SZ,288011.44,60.82548638822876,0.5937814335436933,0.7521296941727786,-0.3166965212581707,,,,,0.28999999999999915,0.623878863229159,9.45391854271506,20.207545711606343,-12.053335795067504
311578.572,0.06,11.88,12.02,11.77,11.81,0.5076,11.82,2025-07-24,002636.SZ,262543.4,61.189741198076504,0.5261945039338816,0.7069426561249993,-0.36149630438223546,,,,,0.25,0.5971732301413619,9.332915392113101,16.58266893844193,-5.166591700544558
306681.697,-0.19,11.69,11.96,11.67,11.85,-1.5993,11.88,2025-07-25,002636.SZ,260886.68,59.30908277364115,0.45208856758506677,0.6559718384170128,-0.40776654166389203,12.072,15.232070618797858,8.91192938120214,0.5235372131871867,0.2900000000000009,0.5752322851312648,6.801653739669591,13.322330538851151,-6.239699858693527
759310.441,0.63,12.32,12.46,11.72,11.72,5.3892,11.69,2025-07-28,002636.SZ,627105.8,63.3332444640877,0.43913276483218056,0.6126040237000464,-0.3469425177357317,12.214,15.129421067358884,9.298578932641117,0.4773900552413432,0.7700000000000014,0.5891442647647459,27.10388027089083,17.916180449531044,45.479279913610405
532356.541,-0.08,12.24,12.5,11.94,12.21,-0.6494,12.32,2025-07-29,002636.SZ,437080.32,62.488141409797095,0.4175960787456461,0.5736024347091664,-0.3120127119270406,12.337,15.018210253048544,9.655789746951456,0.4346616281184314,0.5600000000000005,0.5870625315672641,37.86092018059388,24.56442702655199,64.45390648867766
289935.047,-0.17,12.07,12.25,11.95,12.2,-1.3889,12.24,2025-07-30,002636.SZ,239833.6,60.636504993856896,0.3824024235069583,0.5353624324687248,-0.30592001792353307,12.472,14.768492520069866,10.175507479930133,0.36826371393038276,0.3000000000000007,0.5665580650267452,41.30487048184172,30.1445748449819,63.62546175556135
462232.046,-0.08,11.99,12.39,11.92,12.06,-0.6628,12.07,2025-07-31,002636.SZ,379586.1,59.73939707563592,0.34408941813753735,0.49710782960248734,-0.3060368229299,12.556000000000001,14.631819685912305,10.480180314087697,0.3306498384696247,0.47000000000000064,0.5596610603819777,40.38798594371779,33.5590452112272,54.04586740869897
267608.139,-0.15,11.84,12.1,11.77,11.83,-1.251,11.99,2025-08-01,002636.SZ,224873.91,58.00649853886778,0.29818504734226536,0.45732327315044297,-0.3182764516163552,12.581,14.606593090534487,10.555406909465512,0.322008280825767,0.33000000000000007,0.5432566989261222,33.75263319942632,33.62357454062691,34.01075051702513
190080.123,0.0,11.84,11.87,11.67,11.7,0.0,11.84,2025-08-04,002636.SZ,161405.43,58.00649853886778,0.2588219642708438,0.4176230113745232,-0.31760209420735874,12.5495,14.601779605450332,10.497220394549668,0.3270695414877616,0.1999999999999993,0.518738363288542,29.329064703232003,32.19207126149527,23.60305158670546
236223.061,0.15,11.99,12.0,11.73,11.88,1.2669,11.84,2025-08-05,002636.SZ,198867.44,59.37326279184014,0.23699821583288205,0.381498052266195,-0.28899967286662587,12.463,14.45242573041622,10.473574269583779,0.3192531060605345,0.2699999999999996,0.5009713373393604,32.404115424644644,32.262752649211734,32.686840975510464
176218.613,-0.01,11.98,12.11,11.85,11.94,-0.0834,11.99,2025-08-06,002636.SZ,147240.86,59.23484808832822,0.21640128226088606,0.3484786982651332,-0.2641548320084943,12.307500000000001,13.873465315203713,10.741534684796289,0.25447333986653864,0.2599999999999998,0.48375909895797753,34.05254281321693,32.8593493705468,36.43892969855719
231927.348,-0.09,11.89,12.08,11.71,11.93,-0.7513,11.98,2025-08-07,002636.SZ,195365.61,57.92599174573375,0.190618484935122,0.316906655599131,-0.252576341328018,12.144499999999999,12.966729958869882,11.322270041130116,0.13540779099508143,0.3699999999999992,0.4756334490324077,31.537036574273163,32.41857843845559,29.773952845908312
